ID,Name,Sigma2
80,MN0OLvP8i0SirMJ7AMuMzA,Pizza Rock,0.359867421812
81,eRRyfI6QVvSviirRF8UGzQ,Encore,
82,6i8vY-6gCQd5v6lZ8yne5Q,SLS Las Vegas Hotel & Casino,0.124630060316
83,WNy1uzcmm_UHmTyR--o5IA,Cornish Pasty Company,0.78421893604
84,YrIfgzLj0DPStJ1ESAS_Qg,Hot N Juicy Crawfish,0.644667364481
85,OUpcKYGbVYgSS1Oo7aQ56Q,Golden Nugget Hotel & Casino,0.484339260589
86,ngNvH4sxnH9aMukTZ67R_Q,Carnival World Buffet,0.476288978616
87,MuIXnv7Oq7X3-4aEsp9dDA,Citizen Public House,0.58370651116
88,BqD7X5CHXnJ14YbBBlLx1w,Julian Serrano,0.439074622225
89,8buIr1zBCO7OEcAQSZko7w,Firefly,0.568680854381
90,eP9T-2a94ChFAl1Rd2R0jg,Trump Hotel,0.761804401401
91,YKOvlBNkF4KpUP9q7x862w,The Mission,0.594150191972
92,3Q0QQPnHcJuX1DLCL9G9Cg,Charlotte Douglas International Airport,0.306282716738
93,5GKbGn9-fAgQ0njSh3OJ8A,LAVO Italian Restaurant & Lounge,0.557328553706
94,v7OwbHgNgy_VQ9eP5FjvUA,Rehab Burger Therapy,0.448329741749
95,sAOpm86A4ukUhY5men3Xbg,Gen Korean BBQ House,0.38313806778
96,OoeTGTkxvSZqqicZ8ljJjw,Hakkasan Nightclub,0.214577339824
97,4UVhuOLaMm2-34SrW8y-ag,Ichiza,0.723686190688
98,ynK2ljcx5S1qSxouBrN5Xg,Stratosphere,0.392129604101
99,YacTpiq0ZptFcXD7I-kdGA,Delmonico Steakhouse,0.817615548303
